Tanggal Transaksi,Nama Resto,Tipe Pesanan,Nomor Pesanan,Rating untuk Resto,Review,Nama Menu,Tag yang Dipilih
"Oct 11 2025, 17:17","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-3001349019,5,,Paket Mabar 2 Kebuli,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE"
"Oct 11 2025, 16:43","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-3001311047,5,,"1 Ekor Ayam Original, Nasi Kebuli",
"Oct 11 2025, 16:11","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-3001278315,5,,Paket Berkah 2 Kebuli,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 11 2025, 16:11","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3001278146,5,"sudah lama langganan, dan selalu puas. request sauce selalu didengarkan. thank you.","1 Ekor Ayam Western, Nasi Kebuli","CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_FRESHNESS"
"Oct 11 2025, 16:05","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3001271779,5,,"1/4 Ekor Ayam Original, Nasi Kebuli",
"Oct 11 2025, 16:02","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3001269642,5,,Paket Mabar 4 Kebuli,
"Oct 11 2025, 15:43","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3001250677,5,,"Sambel Dower, Paket Duo Original",
"Oct 11 2025, 15:37","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3001245136,5,ENAKNYA GA ADA OBAT,"Squash Orange, 1/4 Ekor Ayam Western, 1/4 Ekor Ayam Original, Blackpaper Sauce","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 11 2025, 15:00","Ayam Guling Enakko, Tangkuban Perahu",Gofood Delivery,F-3001210669,5,,Paket Duo Original,CANNED_RESPONSE_FRESHNESS
"Oct 11 2025, 13:13","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3001092669,5,,"Paket Berkah 2 Kebuli, Paket Mabar 1 Kebuli",
"Oct 11 2025, 13:03","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3001079413,5,,"Sambel Dower, 1/2 Ekor Ayam Western, Nasi Kebuli",
"Oct 11 2025, 12:48","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3001059903,4,sambel nya ga di masukin apa lupa?,"1/2 Ekor Ayam Original, Nasi Putih",
"Oct 11 2025, 12:32","Ayam Guling Enakko, Mengwi",Gofood Delivery,F-3001036473,5,,"Sambel Ijo, Paket Berkah 2 Kebuli, Nasi Kebuli","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 11 2025, 12:29","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3001032976,5,,"Nasi Kebuli, 1/2 Ekor Ayam Western",
"Oct 11 2025, 11:45","Ayam Guling Enakko, Dalung",Gofood Delivery,F-3000964475,5,,1 Ekor Ayam Original,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_VALUE"
"Oct 11 2025, 11:30","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3000941904,5,,"Paket Berkah 2 Kebuli, Nasi Kebuli","CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE, CANNED_RESPONSE_CUTLERY"
"Oct 11 2025, 11:23","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3000931043,5,,Paket Mabar 4 Mandhi,"CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_HYGIENE, CANNED_RESPONSE_TASTE, CANNED_RESPONSE_PORTION, CANNED_RESPONSE_PACKAGING, CANNED_RESPONSE_VALUE"
"Oct 11 2025, 11:20","Ayam Guling Enakko, Pulau Kawe",Gofood Delivery,F-3000925900,5,"mantaaaaap,mantuuulll","1/4 Ekor Ayam Western, Sambel Dower, Squash Lychee, Nasi Putih","CANNED_RESPONSE_TASTE, CANNED_RESPONSE_FRESHNESS, CANNED_RESPONSE_PORTION"
"Oct 11 2025, 11:03","Ayam Guling Enakko Dalung Permai, Jalan Perum Dalung Permai",Gofood Delivery,F-3000900502,5,,1/2 Ekor Ayam Original,
"Oct 11 2025, 10:15","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3000838069,5,,1 Ekor Ayam Original,
"Oct 11 2025, 08:29","Ayam Guling Enakko, Denpasar",Gofood Delivery,F-3000755315,5,,"Nasi Putih, 1/2 Ekor Ayam Original",
"Oct 10 2025, 19:53","Ayam Guling Enakko, Pemogan",Gofood Delivery,F-3000518398,4,,"Paket Berkah 2 Kebuli, Paket Mabar 1 Kebuli, Sambel Ijo, Nasi Kebuli",
